,Corriente [A],Tension fotocatodo [V],Hora
0,2.14319e-12,-3.0,12:37:57
1,2.31372e-12,-2.8,
2,2.70096e-12,-2.5999999999999996,
3,2.42474e-12,-2.3999999999999995,
4,2.46382e-12,-2.1999999999999993,
5,2.39898e-12,-1.9999999999999991,
6,2.34569e-12,-1.799999999999999,
7,2.25599e-12,-1.5999999999999988,
8,1.97621e-12,-1.3999999999999986,
9,1.78613e-12,-1.1999999999999984,
10,1.48238e-12,-0.9999999999999982,
11,3.93576e-13,-0.799999999999998,
12,4.70649e-12,-0.5999999999999979,
13,1.97212e-11,-0.3999999999999977,
14,5.55682e-11,-0.1999999999999975,
15,1.2193e-10,2.6645352591003757e-15,
16,1.96864e-10,0.20000000000000284,
17,2.70207e-10,0.400000000000003,
18,3.40323e-10,0.6000000000000032,
19,4.16124e-10,0.8000000000000034,
20,4.90164e-10,1.0000000000000036,
21,5.43768e-10,1.2000000000000037,
22,6.02657e-10,1.400000000000004,
23,6.59274e-10,1.600000000000004,
24,7.05089e-10,1.8000000000000043,
25,7.64434e-10,2.0000000000000044,
26,1.02307e-09,2.2000000000000046,
27,1.08026e-09,2.400000000000005,
28,1.1429e-09,2.600000000000005,
29,1.19372e-09,2.800000000000005,
30,1.11982e-09,3.0000000000000053,
31,1.16746e-09,3.2000000000000055,
32,1.21805e-09,3.4000000000000057,
33,1.20998e-09,3.600000000000006,
34,1.07082e-09,3.800000000000006,
35,1.0897e-09,4.000000000000006,
36,1.12482e-09,4.200000000000006,
37,1.18622e-09,4.400000000000007,
38,1.25215e-09,4.600000000000007,
39,1.30081e-09,4.800000000000007,
40,1.2999e-09,5.000000000000007,
41,1.33083e-09,5.200000000000006,
42,1.34765e-09,5.4000000000000075,
43,1.39654e-09,5.6000000000000085,
44,1.41291e-09,5.800000000000008,
45,1.45042e-09,6.000000000000007,
46,1.49453e-09,6.200000000000008,
47,1.49897e-09,6.400000000000009,
48,1.49942e-09,6.6000000000000085,
49,1.50659e-09,6.800000000000008,
50,1.55399e-09,7.000000000000009,
51,1.57491e-09,7.20000000000001,
52,1.5416e-09,7.400000000000009,
53,1.60606e-09,7.6000000000000085,
54,1.61959e-09,7.80000000000001,
55,1.6413e-09,8.00000000000001,
