,Corriente [A],Tension fotocatodo [V],Hora
0,2.96831e-12,-3.0,13:39:01
1,2.90258e-12,-2.8,
2,2.98429e-12,-2.5999999999999996,
3,2.78712e-12,-2.3999999999999995,
4,2.70096e-12,-2.1999999999999993,
5,2.54287e-12,-1.9999999999999991,
6,2.47714e-12,-1.799999999999999,
7,2.38833e-12,-1.5999999999999988,
8,2.07924e-12,-1.3999999999999986,
9,1.39667e-12,-1.1999999999999984,
10,6.13291e-13,-0.9999999999999982,
11,5.99212e-12,-0.799999999999998,
12,1.82691e-11,-0.5999999999999979,
13,4.49225e-11,-0.3999999999999977,
14,8.9234e-11,-0.1999999999999975,
15,1.45612e-10,2.6645352591003757e-15,
16,2.14642e-10,0.20000000000000284,
17,2.82002e-10,0.400000000000003,
18,3.50868e-10,0.6000000000000032,
19,3.9657e-10,0.8000000000000034,
20,4.79393e-10,1.0000000000000036,
21,5.16028e-10,1.2000000000000037,
22,5.87651e-10,1.400000000000004,
23,6.44381e-10,1.600000000000004,
24,7.08386e-10,1.8000000000000043,
25,7.52497e-10,2.0000000000000044,
26,8.59533e-10,2.2000000000000046,
27,8.92332e-10,2.400000000000005,
28,9.74758e-10,2.600000000000005,
29,1.03331e-09,2.800000000000005,
30,1.0565e-09,3.0000000000000053,
31,1.1205e-09,3.2000000000000055,
32,1.10959e-09,3.4000000000000057,
33,1.1803e-09,3.600000000000006,
34,1.21305e-09,3.800000000000006,
35,1.27091e-09,4.000000000000006,
36,1.31343e-09,4.200000000000006,
37,1.34867e-09,4.400000000000007,
38,1.40165e-09,4.600000000000007,
39,1.31912e-09,4.800000000000007,
40,1.22885e-09,5.000000000000007,
41,1.26511e-09,5.200000000000006,
42,1.30536e-09,5.4000000000000075,
43,1.3348e-09,5.6000000000000085,
44,1.35379e-09,5.800000000000008,
45,1.39381e-09,6.000000000000007,
46,1.39676e-09,6.200000000000008,
47,1.42985e-09,6.400000000000009,
48,1.45054e-09,6.6000000000000085,
49,1.46429e-09,6.800000000000008,
50,1.49135e-09,7.000000000000009,
51,1.48271e-09,7.20000000000001,
52,1.52648e-09,7.400000000000009,
53,1.64165e-09,7.6000000000000085,
54,1.6562e-09,7.80000000000001,
55,1.61686e-09,8.00000000000001,
