,Corriente [A],Tension fotocatodo [V],Hora
0,1.9429e-12,-5,10:16:28
1,1.69421e-12,-4,
2,3.20234e-12,-3,
3,4.27883e-12,-2,
4,5.44456e-12,-1,
5,2.29563e-10,0,
6,7.9763e-10,1,
7,1.42553e-09,2,
8,1.76943e-09,3,
9,1.90268e-09,4,
10,2.34787e-09,5,
