,Corriente [A],Tension fotocatodo [V],Hora
0,3.58825e-12,-5,10:33:32
1,3.36443e-12,-4,
2,3.1344e-12,-3,
3,2.6761e-12,-2,
4,1.24301e-12,-1,
5,1.80045e-10,0,
6,6.69221e-10,1,
7,1.26216e-09,2,
8,1.62596e-09,3,
9,1.68394e-09,4,
10,1.80717e-09,5,
