,Corriente [A],Tension fotocatodo [V],Hora
0,5.59378e-12,-3.0,11:50:15
1,5.30956e-12,-2.8,
2,5.02001e-12,-2.5999999999999996,
3,5.05465e-12,-2.3999999999999995,
4,4.21355e-12,-2.1999999999999993,
5,4.77665e-12,-1.9999999999999991,
6,4.30148e-12,-1.799999999999999,
7,4.13095e-12,-1.5999999999999988,
8,3.69663e-12,-1.3999999999999986,
9,2.15562e-12,-1.1999999999999984,
10,2.35102e-12,-0.9999999999999982,
11,1.56241e-11,-0.799999999999998,
12,4.79654e-11,-0.5999999999999979,
13,1.11321e-10,-0.3999999999999977,
14,2.0387e-10,-0.1999999999999975,
15,3.36003e-10,2.6645352591003757e-15,
16,4.98861e-10,0.20000000000000284,
17,6.63253e-10,0.400000000000003,
18,8.3168e-10,0.6000000000000032,
19,9.94483e-10,0.8000000000000034,
20,1.15575e-09,1.0000000000000036,
21,1.30775e-09,1.2000000000000037,
22,1.45099e-09,1.400000000000004,
23,1.55831e-09,1.600000000000004,
24,1.70736e-09,1.8000000000000043,
25,1.72145e-09,2.0000000000000044,
26,1.79399e-09,2.2000000000000046,
27,2.09026e-09,2.400000000000005,
28,2.15961e-09,2.600000000000005,
29,2.27239e-09,2.800000000000005,
30,2.36174e-09,3.0000000000000053,
31,2.50158e-09,3.2000000000000055,
32,2.60276e-09,3.4000000000000057,
33,2.64278e-09,3.600000000000006,
34,2.75237e-09,3.800000000000006,
35,2.85901e-09,4.000000000000006,
36,2.94632e-09,4.200000000000006,
37,3.07502e-09,4.400000000000007,
38,3.18347e-09,4.600000000000007,
39,3.17415e-09,4.800000000000007,
40,3.21735e-09,5.000000000000007,
41,3.36583e-09,5.200000000000006,
42,3.45723e-09,5.4000000000000075,
43,3.53249e-09,5.6000000000000085,
44,3.59161e-09,5.800000000000008,
45,3.65368e-09,6.000000000000007,
46,3.70666e-09,6.200000000000008,
47,3.78762e-09,6.400000000000009,
48,3.84833e-09,6.6000000000000085,
49,3.91358e-09,6.800000000000008,
50,3.95497e-09,7.000000000000009,
51,3.99498e-09,7.20000000000001,
52,4.04023e-09,7.400000000000009,
53,4.12686e-09,7.6000000000000085,
54,4.16256e-09,7.80000000000001,
55,4.22031e-09,8.00000000000001,
