,Corriente [A],Tension fotocatodo [V],Hora
0,4.06877e-12,-3.0,11:40:04
1,3.99239e-12,-2.8,
2,3.79966e-12,-2.5999999999999996,
3,3.67709e-12,-2.3999999999999995,
4,3.47279e-12,-2.1999999999999993,
5,3.45414e-12,-1.9999999999999991,
6,3.32269e-12,-1.799999999999999,
7,3.15926e-12,-1.5999999999999988,
8,2.75248e-12,-1.3999999999999986,
9,1.85275e-12,-1.1999999999999984,
10,1.12488e-12,-0.9999999999999982,
11,9.17183e-12,-0.799999999999998,
12,2.87327e-11,-0.5999999999999979,
13,6.60276e-11,-0.3999999999999977,
14,1.26435e-10,-0.1999999999999975,
15,2.07366e-10,2.6645352591003757e-15,
16,3.01243e-10,0.20000000000000284,
17,4.00435e-10,0.400000000000003,
18,4.99515e-10,0.6000000000000032,
19,6.06239e-10,0.8000000000000034,
20,7.0634e-10,1.0000000000000036,
21,7.96437e-10,1.2000000000000037,
22,8.89148e-10,1.400000000000004,
23,9.76748e-10,1.600000000000004,
24,1.06355e-09,1.8000000000000043,
25,1.14722e-09,2.0000000000000044,
26,1.21691e-09,2.2000000000000046,
27,1.28956e-09,2.400000000000005,
28,1.35186e-09,2.600000000000005,
29,1.41871e-09,2.800000000000005,
30,1.47669e-09,3.0000000000000053,
31,1.54569e-09,3.2000000000000055,
32,1.59947e-09,3.4000000000000057,
33,1.66381e-09,3.600000000000006,
34,1.71782e-09,3.800000000000006,
35,1.76875e-09,4.000000000000006,
36,1.82479e-09,4.200000000000006,
37,1.87016e-09,4.400000000000007,
38,1.91473e-09,4.600000000000007,
39,1.95793e-09,4.800000000000007,
40,1.98783e-09,5.000000000000007,
41,2.08003e-09,5.200000000000006,
42,2.13005e-09,5.4000000000000075,
43,2.16689e-09,5.6000000000000085,
44,2.19553e-09,5.800000000000008,
45,2.22691e-09,6.000000000000007,
46,2.2642e-09,6.200000000000008,
47,2.30854e-09,6.400000000000009,
48,2.35629e-09,6.6000000000000085,
49,2.39949e-09,6.800000000000008,
50,2.43473e-09,7.000000000000009,
51,2.46179e-09,7.20000000000001,
52,2.52e-09,7.400000000000009,
53,2.5375e-09,7.6000000000000085,
54,2.56752e-09,7.80000000000001,
55,2.60913e-09,8.00000000000001,
