,Corriente [A],Tension fotocatodo [V],Hora
0,3.93377e-12,-3.0,12:00:04
1,3.92933e-12,-2.8,
2,3.82364e-12,-2.5999999999999996,
3,3.58204e-12,-2.3999999999999995,
4,3.56072e-12,-2.1999999999999993,
5,3.50299e-12,-1.9999999999999991,
6,3.51365e-12,-1.799999999999999,
7,3.13706e-12,-1.5999999999999988,
8,2.85018e-12,-1.3999999999999986,
9,2.27109e-12,-1.1999999999999984,
10,4.23552e-13,-0.9999999999999982,
11,4.91721e-12,-0.799999999999998,
12,2.24195e-11,-0.5999999999999979,
13,5.98068e-11,-0.3999999999999977,
14,1.277e-10,-0.1999999999999975,
15,2.20411e-10,2.6645352591003757e-15,
16,2.69326e-10,0.20000000000000284,
17,4.37582e-10,0.400000000000003,
18,5.65368e-10,0.6000000000000032,
19,6.78714e-10,0.8000000000000034,
20,6.80533e-10,1.0000000000000036,
21,7.59204e-10,1.2000000000000037,
22,8.50267e-10,1.400000000000004,
23,9.27802e-10,1.600000000000004,
24,1.01523e-09,1.8000000000000043,
25,1.07571e-09,2.0000000000000044,
26,1.14654e-09,2.2000000000000046,
27,1.25795e-09,2.400000000000005,
28,1.27648e-09,2.600000000000005,
29,1.40358e-09,2.800000000000005,
30,1.42075e-09,3.0000000000000053,
31,1.47077e-09,3.2000000000000055,
32,1.71475e-09,3.4000000000000057,
33,1.80979e-09,3.600000000000006,
34,1.84833e-09,3.800000000000006,
35,1.90518e-09,4.000000000000006,
36,1.92087e-09,4.200000000000006,
37,1.97464e-09,4.400000000000007,
38,2.03228e-09,4.600000000000007,
39,2.08185e-09,4.800000000000007,
40,2.09958e-09,5.000000000000007,
41,2.14642e-09,5.200000000000006,
42,2.18485e-09,5.4000000000000075,
43,2.23123e-09,5.6000000000000085,
44,2.25829e-09,5.800000000000008,
45,2.33241e-09,6.000000000000007,
46,2.4004e-09,6.200000000000008,
47,2.40244e-09,6.400000000000009,
48,2.50431e-09,6.6000000000000085,
49,2.49067e-09,6.800000000000008,
50,2.53137e-09,7.000000000000009,
51,2.58389e-09,7.20000000000001,
52,2.60162e-09,7.400000000000009,
53,2.40244e-09,7.6000000000000085,
54,2.35697e-09,7.80000000000001,
55,2.45679e-09,8.00000000000001,
