,Corriente [A],Tension fotocatodo [V],Hora
0,2.44695e-12,-3.0,12:28:11
1,2.51711e-12,-2.8,
2,2.73649e-12,-2.5999999999999996,
3,3.34578e-12,-2.3999999999999995,
4,2.55264e-12,-2.1999999999999993,
5,2.33592e-12,-1.9999999999999991,
6,2.28174e-12,-1.799999999999999,
7,2.25243e-12,-1.5999999999999988,
8,2.07391e-12,-1.3999999999999986,
9,1.91049e-12,-1.1999999999999984,
10,1.25101e-12,-0.9999999999999982,
11,1.04673e-12,-0.799999999999998,
12,8.91559e-12,-0.5999999999999979,
13,3.12037e-11,-0.3999999999999977,
14,9.82152e-11,-0.1999999999999975,
15,1.52888e-10,2.6645352591003757e-15,
16,2.42126e-10,0.20000000000000284,
17,3.32223e-10,0.400000000000003,
18,4.18568e-10,0.6000000000000032,
19,5.26828e-10,0.8000000000000034,
20,5.89527e-10,1.0000000000000036,
21,7.69891e-10,1.2000000000000037,
22,8.38046e-10,1.400000000000004,
23,9.59922e-10,1.600000000000004,
24,9.49633e-10,1.8000000000000043,
25,1.03262e-09,2.0000000000000044,
26,1.11152e-09,2.2000000000000046,
27,1.157e-09,2.400000000000005,
28,1.21964e-09,2.600000000000005,
29,1.2534e-09,2.800000000000005,
30,1.31423e-09,3.0000000000000053,
31,1.36402e-09,3.2000000000000055,
32,1.43417e-09,3.4000000000000057,
33,1.45383e-09,3.600000000000006,
34,1.4494e-09,3.800000000000006,
35,1.50477e-09,4.000000000000006,
36,1.57821e-09,4.200000000000006,
37,1.60595e-09,4.400000000000007,
38,1.67075e-09,4.600000000000007,
39,1.69087e-09,4.800000000000007,
40,1.7393e-09,5.000000000000007,
41,1.71475e-09,5.200000000000006,
42,1.80012e-09,5.4000000000000075,
43,1.78068e-09,5.6000000000000085,
44,1.81286e-09,5.800000000000008,
45,1.98487e-09,6.000000000000007,
46,1.94838e-09,6.200000000000008,
47,1.93883e-09,6.400000000000009,
48,1.96839e-09,6.6000000000000085,
49,1.98499e-09,6.800000000000008,
50,2.10481e-09,7.000000000000009,
51,2.12641e-09,7.20000000000001,
52,2.14983e-09,7.400000000000009,
53,2.19212e-09,7.6000000000000085,
54,2.14347e-09,7.80000000000001,
55,2.20622e-09,8.00000000000001,
