,Corriente [A],Tension fotocatodo [V],Hora
0,4.44536e-12,-3.0,12:11:58
1,4.16114e-12,-2.8,
2,4.11851e-12,-2.5999999999999996,
3,4.00927e-12,-2.3999999999999995,
4,3.93821e-12,-2.1999999999999993,
5,3.84051e-12,-1.9999999999999991,
6,3.62023e-12,-1.799999999999999,
7,3.62822e-12,-1.5999999999999988,
8,3.20634e-12,-1.3999999999999986,
9,2.44428e-12,-1.1999999999999984,
10,6.63695e-13,-0.9999999999999982,
11,5.6031e-12,-0.799999999999998,
12,1.89228e-11,-0.5999999999999979,
13,6.0425e-11,-0.3999999999999977,
14,1.22406e-10,-0.1999999999999975,
15,2.17967e-10,2.6645352591003757e-15,
16,3.32308e-10,0.20000000000000284,
17,4.51992e-10,0.400000000000003,
18,6.23292e-10,0.6000000000000032,
19,7.50564e-10,0.8000000000000034,
20,8.72038e-10,1.0000000000000036,
21,9.83967e-10,1.2000000000000037,
22,1.10459e-09,1.400000000000004,
23,1.18985e-09,1.600000000000004,
24,1.25829e-09,1.8000000000000043,
25,1.35015e-09,2.0000000000000044,
26,1.42507e-09,2.2000000000000046,
27,1.44997e-09,2.400000000000005,
28,1.53137e-09,2.600000000000005,
29,1.62391e-09,2.800000000000005,
30,1.69019e-09,3.0000000000000053,
31,1.68985e-09,3.2000000000000055,
32,1.74578e-09,3.4000000000000057,
33,1.76204e-09,3.600000000000006,
34,1.82309e-09,3.800000000000006,
35,1.89108e-09,4.000000000000006,
36,1.93394e-09,4.200000000000006,
37,1.97998e-09,4.400000000000007,
38,2.02819e-09,4.600000000000007,
39,2.12368e-09,4.800000000000007,
40,2.11595e-09,5.000000000000007,
41,2.14006e-09,5.200000000000006,
42,2.16529e-09,5.4000000000000075,
43,2.22668e-09,5.6000000000000085,
44,2.27216e-09,5.800000000000008,
45,2.334e-09,6.000000000000007,
46,2.38698e-09,6.200000000000008,
47,2.41859e-09,6.400000000000009,
48,2.427e-09,6.6000000000000085,
49,2.4959e-09,6.800000000000008,
50,2.54705e-09,7.000000000000009,
51,2.56684e-09,7.20000000000001,
52,2.6662e-09,7.400000000000009,
53,2.73464e-09,7.6000000000000085,
54,2.64824e-09,7.80000000000001,
55,2.71804e-09,8.00000000000001,
