,Corriente [A],Tension fotocatodo [V],Hora
0,2.3004e-12,-3.0,13:26:51
1,2.1947e-12,-2.8,
2,2.15207e-12,-2.5999999999999996,
3,2.14141e-12,-2.3999999999999995,
4,2.05615e-12,-2.1999999999999993,
5,2.03483e-12,-1.9999999999999991,
6,1.96067e-12,-1.799999999999999,
7,1.7022e-12,-1.5999999999999988,
8,1.53078e-12,-1.3999999999999986,
9,1.21415e-12,-1.1999999999999984,
10,2.2149e-13,-0.9999999999999982,
11,3.80454e-12,-0.799999999999998,
12,1.31087e-11,-0.5999999999999979,
13,3.08324e-11,-0.3999999999999977,
14,5.80977e-11,-0.1999999999999975,
15,9.97606e-11,2.6645352591003757e-15,
16,1.52526e-10,0.20000000000000284,
17,2.0296e-10,0.400000000000003,
18,2.45906e-10,0.6000000000000032,
19,3.00078e-10,0.8000000000000034,
20,3.31427e-10,1.0000000000000036,
21,3.94239e-10,1.2000000000000037,
22,4.59297e-10,1.400000000000004,
23,4.61855e-10,1.600000000000004,
24,5.07558e-10,1.8000000000000043,
25,5.41267e-10,2.0000000000000044,
26,5.98053e-10,2.2000000000000046,
27,6.39435e-10,2.400000000000005,
28,7.00371e-10,2.600000000000005,
29,7.1697e-10,2.800000000000005,
30,7.1913e-10,3.0000000000000053,
31,7.73245e-10,3.2000000000000055,
32,8.16048e-10,3.4000000000000057,
33,8.42082e-10,3.600000000000006,
34,8.47027e-10,3.800000000000006,
35,8.74312e-10,4.000000000000006,
36,9.00403e-10,4.200000000000006,
37,9.22345e-10,4.400000000000007,
38,9.6265e-10,4.600000000000007,
39,9.75213e-10,4.800000000000007,
40,1.00682e-09,5.000000000000007,
41,1.05764e-09,5.200000000000006,
42,1.10857e-09,5.4000000000000075,
43,1.10845e-09,5.6000000000000085,
44,1.12278e-09,5.800000000000008,
45,1.13631e-09,6.000000000000007,
46,1.14006e-09,6.200000000000008,
47,1.18485e-09,6.400000000000009,
48,1.16336e-09,6.6000000000000085,
49,1.21543e-09,6.800000000000008,
50,1.20782e-09,7.000000000000009,
51,1.22521e-09,7.20000000000001,
52,1.23772e-09,7.400000000000009,
53,1.3024e-09,7.6000000000000085,
54,1.33696e-09,7.80000000000001,
55,1.3298e-09,8.00000000000001,
