,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,3.8636e-11,-1.0,13,13:00:46
1,3.88509e-11,-0.9,13,
2,3.88971e-11,-0.8,13,
3,3.86484e-11,-0.7000000000000001,13,
4,3.86484e-11,-0.6000000000000001,13,
5,3.8993e-11,-0.5000000000000001,13,
6,3.96965e-11,-0.40000000000000013,13,
7,4.13218e-11,-0.30000000000000016,13,
8,4.17748e-11,-0.20000000000000018,13,
9,4.49172e-11,-0.1000000000000002,13,
10,5.04132e-11,-2.220446049250313e-16,14,
11,5.59413e-11,0.09999999999999964,14,
12,6.34555e-11,0.19999999999999973,14,
13,7.15237e-11,0.2999999999999998,14,
14,7.99649e-11,0.3999999999999997,14,
15,8.81717e-11,0.49999999999999956,14,
16,9.61902e-11,0.5999999999999996,14,
17,1.05417e-10,0.6999999999999997,15,
18,1.13872e-10,0.7999999999999996,15,
19,1.22861e-10,0.8999999999999995,15,
20,1.31011e-10,0.9999999999999996,15,
