,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,6.52636e-12,-1.5,13,9:46:11
1,6.24747e-12,-1.49,13,
2,7.68813e-12,-1.48,13,
3,5.28291e-12,-1.47,13,
4,5.96148e-12,-1.46,13,
5,5.88865e-12,-1.45,13,
6,7.62063e-12,-1.44,13,
7,7.65793e-12,-1.43,13,
8,5.73944e-12,-1.42,13,
9,6.54946e-12,-1.41,13,
10,6.9296e-12,-1.4,13,
11,7.67569e-12,-1.39,13,
12,6.16399e-12,-1.38,13,
13,6.81946e-12,-1.3699999999999999,13,
14,7.51582e-12,-1.3599999999999999,13,
15,7.03085e-12,-1.3499999999999999,13,
16,5.84957e-12,-1.3399999999999999,13,
17,7.02552e-12,-1.3299999999999998,13,
18,6.12313e-12,-1.3199999999999998,13,
19,7.22269e-12,-1.3099999999999998,13,
20,6.31675e-12,-1.2999999999999998,13,
21,6.0805e-12,-1.2899999999999998,13,
22,7.71477e-12,-1.2799999999999998,13,
23,6.98644e-12,-1.2699999999999998,13,
24,7.00065e-12,-1.2599999999999998,13,
25,5.25982e-12,-1.2499999999999998,13,
26,5.90464e-12,-1.2399999999999998,13,
27,7.02552e-12,-1.2299999999999998,13,
28,6.37715e-12,-1.2199999999999998,13,
29,6.46774e-12,-1.2099999999999997,13,
30,6.3132e-12,-1.1999999999999997,13,
31,6.71821e-12,-1.1899999999999997,13,
32,6.39136e-12,-1.1799999999999997,13,
33,6.46952e-12,-1.1699999999999997,13,
34,6.93315e-12,-1.1599999999999997,13,
35,6.04675e-12,-1.1499999999999997,13,
36,6.35761e-12,-1.1399999999999997,13,
37,5.91974e-12,-1.1299999999999997,12,
38,5.51739e-12,-1.1199999999999997,12,
39,6.00944e-12,-1.1099999999999997,12,
40,5.35219e-12,-1.0999999999999996,12,
41,5.49785e-12,-1.0899999999999996,12,
42,6.35494e-12,-1.0799999999999996,12,
43,6.0201e-12,-1.0699999999999996,12,
44,4.52885e-12,-1.0599999999999996,12,
45,6.02277e-12,-1.0499999999999996,12,
46,6.4562e-12,-1.0399999999999996,12,
47,6.44199e-12,-1.0299999999999996,12,
48,6.42067e-12,-1.0199999999999996,12,
49,5.67194e-12,-1.0099999999999996,12,
50,5.88155e-12,-0.9999999999999996,12,
51,5.171e-12,-0.9899999999999995,12,
52,6.10892e-12,-0.9799999999999995,12,
53,5.87355e-12,-0.9699999999999995,12,
54,6.17553e-12,-0.9599999999999995,12,
55,5.2687e-12,-0.9499999999999995,12,
56,5.21097e-12,-0.9399999999999995,12,
57,6.35317e-12,-0.9299999999999995,12,
58,6.53258e-12,-0.9199999999999995,12,
59,5.09195e-12,-0.9099999999999995,12,
60,5.49696e-12,-0.8999999999999995,12,
61,5.09728e-12,-0.8899999999999995,12,
62,5.73144e-12,-0.8799999999999994,12,
63,6.50238e-12,-0.8699999999999994,12,
64,5.28202e-12,-0.8599999999999994,12,
65,6.34695e-12,-0.8499999999999994,12,
66,7.46164e-12,-0.8399999999999994,12,
67,6.75196e-12,-0.8299999999999994,12,
68,5.32199e-12,-0.8199999999999994,12,
69,6.98466e-12,-0.8099999999999994,12,
70,7.80004e-12,-0.7999999999999994,12,
71,7.56201e-12,-0.7899999999999994,12,
72,6.72087e-12,-0.7799999999999994,12,
73,6.44643e-12,-0.7699999999999994,12,
74,9.16428e-12,-0.7599999999999993,12,
75,7.40391e-12,-0.7499999999999993,12,
76,8.55677e-12,-0.7399999999999993,12,
77,7.61441e-12,-0.7299999999999993,12,
78,9.84463e-12,-0.7199999999999993,12,
79,7.60553e-12,-0.7099999999999993,12,
80,8.69799e-12,-0.6999999999999993,12,
81,1.15819e-11,-0.6899999999999993,12,
82,8.98753e-12,-0.6799999999999993,12,
83,9.5835e-12,-0.6699999999999993,12,
84,1.21406e-11,-0.6599999999999993,12,
85,1.30296e-11,-0.6499999999999992,12,
86,1.32206e-11,-0.6399999999999992,12,
87,1.35732e-11,-0.6299999999999992,12,
88,1.27117e-11,-0.6199999999999992,12,
89,1.57457e-11,-0.6099999999999992,12,
90,1.63666e-11,-0.5999999999999992,12,
91,1.71944e-11,-0.5899999999999992,12,
92,1.73143e-11,-0.5799999999999992,12,
93,1.85675e-11,-0.5699999999999992,12,
94,1.86758e-11,-0.5599999999999992,12,
95,1.96519e-11,-0.5499999999999992,13,
96,2.2487e-11,-0.5399999999999991,13,
97,2.07693e-11,-0.5299999999999991,13,
98,2.21371e-11,-0.5199999999999991,13,
99,2.68089e-11,-0.5099999999999991,13,
100,2.62067e-11,-0.4999999999999991,13,
101,2.92408e-11,-0.4899999999999991,13,
102,2.89156e-11,-0.4799999999999991,13,
103,2.91769e-11,-0.4699999999999991,13,
104,3.39109e-11,-0.4599999999999991,13,
105,3.64972e-11,-0.44999999999999907,13,
106,3.69431e-11,-0.43999999999999906,13,
107,3.94655e-11,-0.42999999999999905,13,
108,4.28264e-11,-0.41999999999999904,13,
109,4.39686e-11,-0.40999999999999903,13,
110,4.4958e-11,-0.399999999999999,13,
