,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,6.49972e-12,-1.5,13,9:48:49
1,7.71477e-12,-1.49,13,
2,6.66847e-12,-1.48,13,
3,7.06638e-12,-1.47,13,
4,7.35417e-12,-1.46,13,
5,5.90286e-12,-1.45,13,
6,6.91006e-12,-1.44,13,
7,6.40735e-12,-1.43,13,
8,7.71122e-12,-1.42,13,
9,6.22083e-12,-1.41,13,
10,7.95458e-12,-1.4,13,
11,6.43222e-12,-1.39,13,
12,7.25467e-12,-1.38,13,
13,7.97057e-12,-1.3699999999999999,13,
14,6.54946e-12,-1.3599999999999999,13,
15,6.24747e-12,-1.3499999999999999,13,
16,7.6899e-12,-1.3399999999999999,13,
17,6.36294e-12,-1.3299999999999998,13,
18,6.52636e-12,-1.3199999999999998,13,
19,7.50161e-12,-1.3099999999999998,13,
20,6.40735e-12,-1.2999999999999998,13,
21,7.48207e-12,-1.2899999999999998,13,
22,5.90464e-12,-1.2799999999999998,13,
23,6.03786e-12,-1.2699999999999998,13,
24,7.8107e-12,-1.2599999999999998,13,
25,6.95624e-12,-1.2499999999999998,13,
26,7.13743e-12,-1.2399999999999998,13,
27,6.94914e-12,-1.2299999999999998,13,
28,6.0201e-12,-1.2199999999999998,13,
29,7.12322e-12,-1.2099999999999997,13,
30,6.89762e-12,-1.1999999999999997,13,
31,6.97045e-12,-1.1899999999999997,13,
32,7.42878e-12,-1.1799999999999997,13,
33,7.25112e-12,-1.1699999999999997,13,
34,7.08059e-12,-1.1599999999999997,13,
35,6.85499e-12,-1.1499999999999997,13,
36,6.87631e-12,-1.1399999999999997,13,
37,7.30621e-12,-1.1299999999999997,13,
38,7.13032e-12,-1.1199999999999997,13,
39,6.54946e-12,-1.1099999999999997,13,
40,7.27957e-12,-1.0999999999999996,13,
41,6.19063e-12,-1.0899999999999996,13,
42,6.46064e-12,-1.0799999999999996,13,
43,6.51038e-12,-1.0699999999999996,13,
44,6.56189e-12,-1.0599999999999996,13,
45,5.77674e-12,-1.0499999999999996,13,
46,7.80537e-12,-1.0399999999999996,13,
47,5.9597e-12,-1.0299999999999996,13,
48,6.14267e-12,-1.0199999999999996,13,
49,6.97933e-12,-1.0099999999999996,13,
50,6.40912e-12,-0.9999999999999996,13,
51,6.35583e-12,-0.9899999999999995,13,
52,7.00776e-12,-0.9799999999999995,13,
53,5.71634e-12,-0.9699999999999995,13,
54,6.40557e-12,-0.9599999999999995,13,
55,7.292e-12,-0.9499999999999995,13,
56,6.53702e-12,-0.9399999999999995,13,
57,5.29535e-12,-0.9299999999999995,13,
58,6.79815e-12,-0.9199999999999995,13,
59,5.9828e-12,-0.9099999999999995,13,
60,6.40202e-12,-0.8999999999999995,13,
61,6.73953e-12,-0.8899999999999995,13,
62,6.13201e-12,-0.8799999999999994,13,
63,7.19783e-12,-0.8699999999999994,13,
64,6.96512e-12,-0.8599999999999994,13,
65,5.4943e-12,-0.8499999999999994,13,
66,7.0273e-12,-0.8399999999999994,13,
67,6.09826e-12,-0.8299999999999994,13,
68,7.05039e-12,-0.8199999999999994,13,
69,8.15886e-12,-0.8099999999999994,13,
70,6.70222e-12,-0.7999999999999994,13,
71,7.21204e-12,-0.7899999999999994,13,
72,6.0876e-12,-0.7799999999999994,13,
73,8.13044e-12,-0.7699999999999994,13,
74,7.84445e-12,-0.7599999999999993,13,
75,7.82313e-12,-0.7499999999999993,13,
76,6.85854e-12,-0.7399999999999993,13,
77,8.92625e-12,-0.7299999999999993,13,
78,8.80013e-12,-0.7199999999999993,13,
79,8.11978e-12,-0.7099999999999993,13,
80,1.06902e-11,-0.6999999999999993,13,
81,9.34725e-12,-0.6899999999999993,13,
82,1.04255e-11,-0.6799999999999993,13,
83,1.10792e-11,-0.6699999999999993,13,
84,1.04983e-11,-0.6599999999999993,13,
85,1.0374e-11,-0.6499999999999992,13,
86,9.93167e-12,-0.6399999999999992,13,
87,1.15908e-11,-0.6299999999999992,13,
88,1.4067e-11,-0.6199999999999992,13,
89,1.4536e-11,-0.6099999999999992,13,
90,1.59376e-11,-0.5999999999999992,13,
91,1.73445e-11,-0.5899999999999992,13,
92,1.61987e-11,-0.5799999999999992,13,
93,1.75789e-11,-0.5699999999999992,13,
94,1.9485e-11,-0.5599999999999992,13,
95,1.8984e-11,-0.5499999999999992,13,
96,2.0327e-11,-0.5399999999999991,13,
97,2.0025e-11,-0.5299999999999991,13,
98,2.27854e-11,-0.5199999999999991,13,
99,2.49615e-11,-0.5099999999999991,13,
100,2.54855e-11,-0.4999999999999991,13,
101,2.56045e-11,-0.4899999999999991,13,
102,2.75461e-11,-0.4799999999999991,13,
103,2.87238e-11,-0.4699999999999991,13,
104,2.98075e-11,-0.4599999999999991,13,
105,3.40707e-11,-0.44999999999999907,13,
106,3.51117e-11,-0.43999999999999906,13,
107,3.88065e-11,-0.42999999999999905,13,
108,3.99398e-11,-0.41999999999999904,13,
109,4.19738e-11,-0.40999999999999903,13,
110,4.2242e-11,-0.399999999999999,13,
111,4.36187e-11,-0.389999999999999,13,
112,4.71128e-11,-0.379999999999999,13,
113,5.2186e-11,-0.369999999999999,14,
114,5.25449e-11,-0.359999999999999,14,
115,5.47227e-11,-0.349999999999999,14,
116,5.77531e-11,-0.33999999999999897,14,
117,6.3118e-11,-0.32999999999999896,14,
118,6.30647e-11,-0.31999999999999895,14,
119,6.74771e-11,-0.30999999999999894,14,
120,7.22236e-11,-0.29999999999999893,14,
121,7.27032e-11,-0.2899999999999989,14,
122,7.79008e-11,-0.2799999999999989,14,
123,8.13398e-11,-0.2699999999999989,14,
124,8.30309e-11,-0.2599999999999989,14,
125,8.45302e-11,-0.2499999999999989,14,
126,9.23817e-11,-0.23999999999999888,14,
127,9.55294e-11,-0.22999999999999887,14,
128,9.89862e-11,-0.21999999999999886,14,
129,1.0477e-10,-0.20999999999999885,15,
130,1.0693e-10,-0.19999999999999885,15,
131,1.13581e-10,-0.18999999999999884,15,
132,1.1621e-10,-0.17999999999999883,15,
133,1.20964e-10,-0.16999999999999882,15,
134,1.26783e-10,-0.1599999999999988,15,
135,1.29803e-10,-0.1499999999999988,15,
136,1.34563e-10,-0.1399999999999988,15,
137,1.39488e-10,-0.12999999999999878,15,
138,1.44554e-10,-0.11999999999999877,15,
139,1.48504e-10,-0.10999999999999877,15,
140,1.53507e-10,-0.09999999999999876,15,
141,1.60299e-10,-0.08999999999999875,15,
142,1.64484e-10,-0.07999999999999874,15,
143,1.69217e-10,-0.06999999999999873,15,
144,1.76414e-10,-0.05999999999999872,15,
145,1.7785e-10,-0.04999999999999871,15,
