,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,7.58155e-12,-1.5,13,9:47:23
1,6.61873e-12,-1.49,13,
2,6.9367e-12,-1.48,13,
3,6.86742e-12,-1.47,13,
4,7.17829e-12,-1.46,13,
5,6.79104e-12,-1.45,13,
6,7.42345e-12,-1.44,13,
7,5.66483e-12,-1.43,13,
8,6.0201e-12,-1.42,13,
9,7.11789e-12,-1.41,13,
10,7.97057e-12,-1.4,13,
11,6.30254e-12,-1.39,13,
12,6.28655e-12,-1.38,13,
13,6.35761e-12,-1.3699999999999999,13,
14,7.75741e-12,-1.3599999999999999,13,
15,7.41457e-12,-1.3499999999999999,13,
16,6.65959e-12,-1.3399999999999999,13,
17,6.16399e-12,-1.3299999999999998,13,
18,6.37893e-12,-1.3199999999999998,13,
19,6.15333e-12,-1.3099999999999998,13,
20,6.66669e-12,-1.2999999999999998,13,
21,7.25467e-12,-1.2899999999999998,13,
22,6.95269e-12,-1.2799999999999998,13,
23,8.08958e-12,-1.2699999999999998,13,
24,7.77695e-12,-1.2599999999999998,13,
25,7.08059e-12,-1.2499999999999998,13,
26,6.88874e-12,-1.2399999999999998,13,
27,6.03786e-12,-1.2299999999999998,13,
28,5.93306e-12,-1.2199999999999998,13,
29,7.26355e-12,-1.2099999999999997,13,
30,7.80714e-12,-1.1999999999999997,13,
31,6.58854e-12,-1.1899999999999997,13,
32,6.1853e-12,-1.1799999999999997,13,
33,6.03076e-12,-1.1699999999999997,13,
34,6.23504e-12,-1.1599999999999997,13,
35,7.48207e-12,-1.1499999999999997,13,
36,6.4713e-12,-1.1399999999999997,13,
37,6.283e-12,-1.1299999999999997,13,
38,6.0574e-12,-1.1199999999999997,13,
39,7.65615e-12,-1.1099999999999997,13,
40,7.84089e-12,-1.0999999999999996,13,
41,6.08405e-12,-1.0899999999999996,13,
42,6.49972e-12,-1.0799999999999996,13,
43,7.06282e-12,-1.0699999999999996,13,
44,7.00243e-12,-1.0599999999999996,13,
45,6.95979e-12,-1.0499999999999996,13,
46,6.02543e-12,-1.0399999999999996,13,
47,5.97214e-12,-1.0299999999999996,13,
48,5.7572e-12,-1.0199999999999996,13,
49,6.68268e-12,-1.0099999999999996,13,
50,6.60452e-12,-0.9999999999999996,13,
51,7.21737e-12,-0.9899999999999995,13,
52,6.75729e-12,-0.9799999999999995,13,
53,7.24223e-12,-0.9699999999999995,13,
54,6.42689e-12,-0.9599999999999995,13,
55,7.28134e-12,-0.9499999999999995,13,
56,6.92604e-12,-0.9399999999999995,13,
57,7.41102e-12,-0.9299999999999995,13,
58,7.25645e-12,-0.9199999999999995,13,
59,6.40735e-12,-0.9099999999999995,13,
60,6.00234e-12,-0.8999999999999995,13,
61,5.91707e-12,-0.8899999999999995,13,
62,6.87275e-12,-0.8799999999999994,13,
63,7.06282e-12,-0.8699999999999994,13,
64,6.61873e-12,-0.8599999999999994,13,
65,6.79104e-12,-0.8499999999999994,13,
66,6.35228e-12,-0.8399999999999994,13,
67,6.40557e-12,-0.8299999999999994,13,
68,7.58332e-12,-0.8199999999999994,13,
69,6.10537e-12,-0.8099999999999994,13,
70,7.21204e-12,-0.7999999999999994,13,
71,6.43577e-12,-0.7899999999999994,13,
72,6.65071e-12,-0.7799999999999994,13,
73,7.2298e-12,-0.7699999999999994,13,
74,8.24768e-12,-0.7599999999999993,13,
75,7.35773e-12,-0.7499999999999993,13,
76,7.75918e-12,-0.7399999999999993,13,
77,7.92083e-12,-0.7299999999999993,13,
78,9.23533e-12,-0.7199999999999993,13,
79,8.8996e-12,-0.7099999999999993,13,
80,9.21047e-12,-0.6999999999999993,13,
81,1.06937e-11,-0.6899999999999993,13,
82,1.00844e-11,-0.6799999999999993,13,
83,1.1271e-11,-0.6699999999999993,13,
84,1.12018e-11,-0.6599999999999993,13,
85,9.83397e-12,-0.6499999999999992,13,
86,1.28076e-11,-0.6399999999999992,13,
87,1.28271e-11,-0.6299999999999992,13,
88,1.31913e-11,-0.6199999999999992,13,
89,1.4703e-11,-0.6099999999999992,13,
90,1.44507e-11,-0.5999999999999992,13,
91,1.75043e-11,-0.5899999999999992,13,
92,1.78703e-11,-0.5799999999999992,13,
93,1.71704e-11,-0.5699999999999992,13,
94,2.00125e-11,-0.5599999999999992,13,
95,1.82628e-11,-0.5499999999999992,13,
