,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,7.62418e-12,-1.5,13,9:53:40
1,6.88696e-12,-1.49,13,
2,6.67735e-12,-1.48,13,
3,6.43399e-12,-1.47,13,
4,7.30976e-12,-1.46,13,
5,6.5157e-12,-1.45,13,
6,6.55656e-12,-1.44,13,
7,6.704e-12,-1.43,13,
8,7.44121e-12,-1.42,13,
9,7.0273e-12,-1.41,13,
10,7.25289e-12,-1.4,13,
11,5.86201e-12,-1.39,13,
12,6.49261e-12,-1.38,13,
13,6.69867e-12,-1.3699999999999999,13,
14,7.28312e-12,-1.3599999999999999,13,
15,7.292e-12,-1.3499999999999999,13,
16,7.72188e-12,-1.3399999999999999,13,
17,7.39503e-12,-1.3299999999999998,13,
18,7.14098e-12,-1.3199999999999998,13,
19,6.32031e-12,-1.3099999999999998,13,
20,7.46964e-12,-1.2999999999999998,13,
21,7.72188e-12,-1.2899999999999998,13,
22,6.37715e-12,-1.2799999999999998,13,
23,6.87631e-12,-1.2699999999999998,13,
24,6.89229e-12,-1.2599999999999998,13,
25,6.01477e-12,-1.2499999999999998,13,
26,6.25991e-12,-1.2399999999999998,13,
27,6.11425e-12,-1.2299999999999998,13,
28,6.04319e-12,-1.2199999999999998,13,
29,7.65793e-12,-1.2099999999999997,13,
30,6.40912e-12,-1.1999999999999997,13,
31,7.44121e-12,-1.1899999999999997,13,
32,6.55656e-12,-1.1799999999999997,13,
33,7.37904e-12,-1.1699999999999997,13,
34,6.81769e-12,-1.1599999999999997,13,
35,6.02365e-12,-1.1499999999999997,13,
36,7.54069e-12,-1.1399999999999997,13,
37,6.69867e-12,-1.1299999999999997,13,
38,7.41457e-12,-1.1199999999999997,13,
39,6.76084e-12,-1.1099999999999997,13,
40,6.43222e-12,-1.0999999999999996,13,
41,6.25458e-12,-1.0899999999999996,13,
42,6.08405e-12,-1.0799999999999996,13,
43,5.59733e-12,-1.0699999999999996,13,
44,6.56722e-12,-1.0599999999999996,13,
45,6.52992e-12,-1.0499999999999996,13,
46,7.46964e-12,-1.0399999999999996,13,
47,6.98999e-12,-1.0299999999999996,13,
48,6.0876e-12,-1.0199999999999996,13,
49,7.14276e-12,-1.0099999999999996,13,
50,6.34162e-12,-0.9999999999999996,13,
51,6.39136e-12,-0.9899999999999995,13,
52,6.26701e-12,-0.9799999999999995,13,
53,7.10368e-12,-0.9699999999999995,13,
54,7.09124e-12,-0.9599999999999995,13,
55,6.68801e-12,-0.9499999999999995,13,
56,6.68091e-12,-0.9399999999999995,13,
57,7.15519e-12,-0.9299999999999995,13,
58,6.86032e-12,-0.9199999999999995,13,
59,7.05039e-12,-0.9099999999999995,13,
60,7.54957e-12,-0.8999999999999995,13,
