,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,6.68801e-12,-1.5,13,9:44:57
1,6.39669e-12,-1.49,13,
2,7.09124e-12,-1.48,13,
3,6.12313e-12,-1.47,13,
4,7.30266e-12,-1.46,13,
5,6.84788e-12,-1.45,13,
6,6.37715e-12,-1.44,13,
7,6.36827e-12,-1.43,13,
8,6.19418e-12,-1.42,13,
9,6.2457e-12,-1.41,13,
10,6.86032e-12,-1.4,13,
11,5.66661e-12,-1.39,13,
12,6.11602e-12,-1.38,13,
13,7.57977e-12,-1.3699999999999999,13,
14,6.4411e-12,-1.3599999999999999,13,
15,6.24392e-12,-1.3499999999999999,13,
16,6.83367e-12,-1.3399999999999999,13,
17,6.16932e-12,-1.3299999999999998,13,
18,6.84788e-12,-1.3199999999999998,13,
19,6.17642e-12,-1.3099999999999998,13,
20,6.06629e-12,-1.2999999999999998,13,
21,7.09835e-12,-1.2899999999999998,13,
22,5.95615e-12,-1.2799999999999998,13,
23,6.52281e-12,-1.2699999999999998,13,
24,6.41445e-12,-1.2599999999999998,13,
25,5.05021e-12,-1.2499999999999998,13,
26,6.56011e-12,-1.2399999999999998,13,
27,6.32741e-12,-1.2299999999999998,13,
28,5.44634e-12,-1.2199999999999998,13,
29,6.54946e-12,-1.2099999999999997,13,
30,6.17997e-12,-1.1999999999999997,13,
31,5.24028e-12,-1.1899999999999997,13,
32,5.31489e-12,-1.1799999999999997,13,
33,5.89398e-12,-1.1699999999999997,13,
34,5.69325e-12,-1.1599999999999997,13,
35,6.14267e-12,-1.1499999999999997,13,
36,6.52992e-12,-1.1399999999999997,13,
37,6.283e-12,-1.1299999999999997,13,
38,6.839e-12,-1.1199999999999997,13,
39,6.283e-12,-1.1099999999999997,13,
40,6.45353e-12,-1.0999999999999996,13,
41,5.24028e-12,-1.0899999999999996,13,
42,5.6293e-12,-1.0799999999999996,13,
43,6.54235e-12,-1.0699999999999996,13,
44,6.94203e-12,-1.0599999999999996,12,
45,6.10625e-12,-1.0499999999999996,12,
