,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,7.75563e-12,-1.5,13,9:34:44
1,6.4482e-12,-1.49,13,
2,8.54256e-12,-1.48,13,
3,7.20848e-12,-1.47,13,
4,7.14098e-12,-1.46,13,
5,8.93158e-12,-1.45,13,
6,7.40924e-12,-1.44,13,
7,6.58321e-12,-1.43,13,
8,7.46431e-12,-1.42,13,
9,7.73964e-12,-1.41,13,
10,6.30965e-12,-1.4,13,
11,7.20848e-12,-1.39,13,
12,7.57977e-12,-1.38,13,
13,8.46084e-12,-1.3699999999999999,13,
14,6.36116e-12,-1.3599999999999999,13,
15,6.26524e-12,-1.3499999999999999,13,
16,6.12313e-12,-1.3399999999999999,13,
17,7.63661e-12,-1.3299999999999998,13,
18,5.08751e-12,-1.3199999999999998,13,
19,6.42333e-12,-1.3099999999999998,13,
20,6.05208e-12,-1.2999999999999998,13,
21,6.24037e-12,-1.2899999999999998,13,
22,5.69858e-12,-1.2799999999999998,13,
23,5.88155e-12,-1.2699999999999998,13,
24,6.79282e-12,-1.2599999999999998,13,
25,6.41801e-12,-1.2499999999999998,13,
26,7.62684e-12,-1.2399999999999998,12,
27,4.83616e-12,-1.2299999999999998,12,
28,7.62329e-12,-1.2199999999999998,12,
29,5.4943e-12,-1.2099999999999997,12,
30,6.63827e-12,-1.1999999999999997,12,
31,6.72976e-12,-1.1899999999999997,12,
32,7.48651e-12,-1.1799999999999997,12,
33,4.77132e-12,-1.1699999999999997,12,
34,6.17642e-12,-1.1599999999999997,12,
35,5.75009e-12,-1.1499999999999997,12,
36,6.61518e-12,-1.1399999999999997,12,
37,5.61243e-12,-1.1299999999999997,12,
38,6.81769e-12,-1.1199999999999997,12,
39,5.9899e-12,-1.1099999999999997,12,
40,6.32741e-12,-1.0999999999999996,12,
41,5.70569e-12,-1.0899999999999996,12,
42,5.73144e-12,-1.0799999999999996,12,
43,5.86201e-12,-1.0699999999999996,12,
44,5.179e-12,-1.0599999999999996,12,
45,6.90739e-12,-1.0499999999999996,12,
46,5.2989e-12,-1.0399999999999996,12,
47,4.72691e-12,-1.0299999999999996,12,
48,7.17651e-12,-1.0199999999999996,12,
49,6.15955e-12,-1.0099999999999996,12,
50,6.59298e-12,-0.9999999999999996,12,
51,6.6285e-12,-0.9899999999999995,12,
52,4.93564e-12,-0.9799999999999995,12,
53,7.77783e-12,-0.9699999999999995,12,
54,9.15451e-12,-0.9599999999999995,12,
55,9.53199e-12,-0.9499999999999995,12,
56,7.65171e-12,-0.9399999999999995,12,
57,9.85528e-12,-0.9299999999999995,12,
58,9.49202e-12,-0.9199999999999995,12,
59,1.19878e-11,-0.9099999999999995,12,
60,9.04971e-12,-0.8999999999999995,12,
61,9.67054e-12,-0.8899999999999995,12,
62,1.29017e-11,-0.8799999999999994,12,
63,1.39551e-11,-0.8699999999999994,12,
64,1.33289e-11,-0.8599999999999994,12,
65,1.57173e-11,-0.8499999999999994,12,
66,1.30074e-11,-0.8399999999999994,12,
67,1.48549e-11,-0.8299999999999994,12,
68,1.71348e-11,-0.8199999999999994,12,
69,1.59269e-11,-0.8099999999999994,12,
70,1.58576e-11,-0.7999999999999994,12,
71,1.93713e-11,-0.7899999999999994,13,
72,2.26522e-11,-0.7799999999999994,13,
73,2.01582e-11,-0.7699999999999994,13,
74,2.41479e-11,-0.7599999999999993,13,
75,2.66668e-11,-0.7499999999999993,13,
76,2.57768e-11,-0.7399999999999993,13,
77,2.61232e-11,-0.7299999999999993,13,
78,3.15217e-11,-0.7199999999999993,13,
79,3.04843e-11,-0.7099999999999993,13,
80,3.38469e-11,-0.6999999999999993,13,
81,3.35183e-11,-0.6899999999999993,13,
82,3.78633e-11,-0.6799999999999993,13,
83,3.65381e-11,-0.6699999999999993,13,
84,4.11264e-11,-0.6599999999999993,13,
85,4.01672e-11,-0.6499999999999992,13,
86,4.44322e-11,-0.6399999999999992,13,
87,4.76084e-11,-0.6299999999999992,13,
88,4.63756e-11,-0.6199999999999992,13,
89,5.24241e-11,-0.6099999999999992,14,
90,5.71563e-11,-0.5999999999999992,14,
91,5.59768e-11,-0.5899999999999992,14,
92,6.02722e-11,-0.5799999999999992,14,
93,6.46065e-11,-0.5699999999999992,14,
94,6.37397e-11,-0.5599999999999992,14,
95,6.50897e-11,-0.5499999999999992,14,
96,7.34954e-11,-0.5399999999999991,14,
97,7.31082e-11,-0.5299999999999991,14,
98,7.8423e-11,-0.5199999999999991,14,
99,8.15494e-11,-0.5099999999999991,14,
100,8.77347e-11,-0.4999999999999991,14,
101,8.66405e-11,-0.4899999999999991,14,
102,9.52025e-11,-0.4799999999999991,14,
103,9.72951e-11,-0.4699999999999991,14,
104,9.90146e-11,-0.4599999999999991,14,
105,1.01978e-10,-0.44999999999999907,15,
106,1.08529e-10,-0.43999999999999906,15,
107,1.16722e-10,-0.42999999999999905,15,
108,1.16914e-10,-0.41999999999999904,15,
109,1.23216e-10,-0.40999999999999903,15,
110,1.26257e-10,-0.399999999999999,15,
111,1.32816e-10,-0.389999999999999,15,
112,1.36397e-10,-0.379999999999999,15,
113,1.44298e-10,-0.369999999999999,15,
114,1.49854e-10,-0.359999999999999,15,
115,1.52405e-10,-0.349999999999999,15,
116,1.60882e-10,-0.33999999999999897,15,
117,1.66225e-10,-0.32999999999999896,15,
118,1.71419e-10,-0.31999999999999895,15,
119,1.74453e-10,-0.30999999999999894,15,
120,1.81225e-10,-0.29999999999999893,15,
121,1.87023e-10,-0.2899999999999989,15,
122,1.94697e-10,-0.2799999999999989,15,
123,2.00601e-10,-0.2699999999999989,16,
124,2.07167e-10,-0.2599999999999989,16,
125,2.13107e-10,-0.2499999999999989,16,
126,2.21207e-10,-0.23999999999999888,16,
127,2.27801e-10,-0.22999999999999887,16,
128,2.36954e-10,-0.21999999999999886,16,
129,2.42013e-10,-0.20999999999999885,16,
130,2.49516e-10,-0.19999999999999885,16,
131,2.58014e-10,-0.18999999999999884,16,
132,2.64722e-10,-0.17999999999999883,16,
133,2.73618e-10,-0.16999999999999882,16,
134,2.81434e-10,-0.1599999999999988,16,
135,2.91154e-10,-0.1499999999999988,16,
136,2.98458e-10,-0.1399999999999988,16,
137,3.04484e-10,-0.12999999999999878,16,
138,3.15028e-10,-0.11999999999999877,16,
139,3.23242e-10,-0.10999999999999877,16,
140,3.32053e-10,-0.09999999999999876,16,
141,3.37907e-10,-0.08999999999999875,16,
142,3.4669e-10,-0.07999999999999874,16,
143,3.59053e-10,-0.06999999999999873,16,
144,3.65874e-10,-0.05999999999999872,16,
145,3.71985e-10,-0.04999999999999871,16,
146,3.83183e-10,-0.0399999999999987,16,
147,3.93216e-10,-0.029999999999998694,16,
148,3.99412e-10,-0.019999999999998685,16,
149,4.09246e-10,-0.009999999999998677,16,
150,4.18625e-10,1.3322676295501878e-15,16,
