,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,8.02564e-12,-1.5,13,9:39:24
1,7.69346e-12,-1.49,13,
2,7.427e-12,-1.48,13,
3,7.06815e-12,-1.47,13,
4,8.65624e-12,-1.46,13,
5,6.69156e-12,-1.45,13,
6,7.71655e-12,-1.44,13,
7,7.64194e-12,-1.43,13,
8,7.5851e-12,-1.42,13,
9,7.49806e-12,-1.41,13,
10,6.78216e-12,-1.4,13,
11,7.42523e-12,-1.39,13,
12,6.11247e-12,-1.38,13,
13,6.19063e-12,-1.3699999999999999,13,
14,7.82846e-12,-1.3599999999999999,13,
15,7.23158e-12,-1.3499999999999999,13,
16,7.50872e-12,-1.3399999999999999,13,
17,7.42523e-12,-1.3299999999999998,13,
18,7.16585e-12,-1.3199999999999998,13,
19,5.87799e-12,-1.3099999999999998,13,
20,5.18166e-12,-1.2999999999999998,13,
21,6.49084e-12,-1.2899999999999998,13,
22,6.41268e-12,-1.2799999999999998,13,
23,6.30965e-12,-1.2699999999999998,13,
24,5.5014e-12,-1.2599999999999998,13,
25,7.35417e-12,-1.2499999999999998,12,
26,6.44998e-12,-1.2399999999999998,12,
27,5.19942e-12,-1.2299999999999998,12,
28,6.64627e-12,-1.2199999999999998,12,
29,7.98389e-12,-1.2099999999999997,12,
30,5.96503e-12,-1.1999999999999997,12,
31,5.43568e-12,-1.1899999999999997,12,
32,5.87089e-12,-1.1799999999999997,12,
33,6.95535e-12,-1.1699999999999997,12,
34,5.88421e-12,-1.1599999999999997,12,
35,5.8176e-12,-1.1499999999999997,12,
36,5.727e-12,-1.1399999999999997,12,
37,4.75622e-12,-1.1299999999999997,12,
38,5.50673e-12,-1.1199999999999997,12,
39,5.72256e-12,-1.1099999999999997,12,
40,5.54848e-12,-1.0999999999999996,12,
41,6.36649e-12,-1.0899999999999996,12,
42,4.9756e-12,-1.0799999999999996,12,
43,5.30689e-12,-1.0699999999999996,12,
44,6.0201e-12,-1.0599999999999996,12,
45,5.63374e-12,-1.0499999999999996,12,
46,6.40824e-12,-1.0399999999999996,12,
47,5.40104e-12,-1.0299999999999996,12,
48,5.89398e-12,-1.0199999999999996,12,
49,6.18885e-12,-1.0099999999999996,12,
50,5.13725e-12,-0.9999999999999996,12,
51,7.31154e-12,-0.9899999999999995,12,
52,6.4482e-12,-0.9799999999999995,12,
53,5.41703e-12,-0.9699999999999995,12,
54,7.70323e-12,-0.9599999999999995,12,
55,7.50605e-12,-0.9499999999999995,12,
56,6.47485e-12,-0.9399999999999995,12,
57,8.57364e-12,-0.9299999999999995,12,
58,7.59487e-12,-0.9199999999999995,12,
59,7.71033e-12,-0.9099999999999995,12,
60,1.02239e-11,-0.8999999999999995,12,
61,7.15608e-12,-0.8899999999999995,12,
62,9.15273e-12,-0.8799999999999994,12,
63,1.19665e-11,-0.8699999999999994,12,
64,9.45738e-12,-0.8599999999999994,12,
65,1.13403e-11,-0.8499999999999994,12,
66,1.16734e-11,-0.8399999999999994,12,
67,1.22019e-11,-0.8299999999999994,12,
68,1.54979e-11,-0.8199999999999994,12,
69,1.22436e-11,-0.8099999999999994,12,
70,1.36869e-11,-0.7999999999999994,12,
71,1.6562e-11,-0.7899999999999994,12,
72,1.55468e-11,-0.7799999999999994,12,
73,1.91226e-11,-0.7699999999999994,12,
74,1.67059e-11,-0.7599999999999993,12,
75,1.84947e-11,-0.7499999999999993,12,
76,2.0549e-11,-0.7399999999999993,13,
77,2.19328e-11,-0.7299999999999993,13,
78,2.46293e-11,-0.7199999999999993,13,
79,2.6308e-11,-0.7099999999999993,13,
80,2.4123e-11,-0.6999999999999993,13,
81,2.87504e-11,-0.6899999999999993,13,
82,2.82104e-11,-0.6799999999999993,13,
83,2.97489e-11,-0.6699999999999993,13,
84,3.40761e-11,-0.6599999999999993,13,
85,3.16069e-11,-0.6499999999999992,13,
86,3.38576e-11,-0.6399999999999992,13,
87,4.12153e-11,-0.6299999999999992,13,
88,4.08085e-11,-0.6199999999999992,13,
89,4.11762e-11,-0.6099999999999992,13,
90,4.48035e-11,-0.5999999999999992,13,
91,4.82159e-11,-0.5899999999999992,13,
92,4.96601e-11,-0.5799999999999992,14,
93,4.95144e-11,-0.5699999999999992,14,
94,5.51739e-11,-0.5599999999999992,14,
95,5.79805e-11,-0.5499999999999992,14,
96,5.92739e-11,-0.5399999999999991,14,
97,6.01728e-11,-0.5299999999999991,14,
98,6.5381e-11,-0.5199999999999991,14,
99,6.82125e-11,-0.5099999999999991,14,
100,6.94134e-11,-0.4999999999999991,14,
101,7.18683e-11,-0.4899999999999991,14,
102,7.72862e-11,-0.4799999999999991,14,
103,7.86113e-11,-0.4699999999999991,14,
104,8.59193e-11,-0.4599999999999991,14,
105,8.93725e-11,-0.44999999999999907,14,
106,9.09819e-11,-0.43999999999999906,14,
107,9.33409e-11,-0.42999999999999905,14,
108,9.73341e-11,-0.41999999999999904,14,
109,1.00166e-10,-0.40999999999999903,15,
110,1.05196e-10,-0.399999999999999,15,
111,1.13112e-10,-0.389999999999999,15,
112,1.17596e-10,-0.379999999999999,15,
113,1.19422e-10,-0.369999999999999,15,
114,1.27231e-10,-0.359999999999999,15,
115,1.30492e-10,-0.349999999999999,15,
116,1.33547e-10,-0.33999999999999897,15,
117,1.39885e-10,-0.32999999999999896,15,
118,1.45008e-10,-0.31999999999999895,15,
119,1.48646e-10,-0.30999999999999894,15,
120,1.52633e-10,-0.29999999999999893,15,
121,1.59589e-10,-0.2899999999999989,15,
122,1.64364e-10,-0.2799999999999989,15,
123,1.73338e-10,-0.2699999999999989,15,
124,1.77658e-10,-0.2599999999999989,15,
125,1.8303e-10,-0.2499999999999989,15,
126,1.91108e-10,-0.23999999999999888,15,
127,1.93595e-10,-0.22999999999999887,15,
128,2.01681e-10,-0.21999999999999886,16,
129,2.09639e-10,-0.20999999999999885,16,
130,2.15096e-10,-0.19999999999999885,16,
131,2.20781e-10,-0.18999999999999884,16,
132,2.29421e-10,-0.17999999999999883,16,
133,2.35362e-10,-0.16999999999999882,16,
134,2.40904e-10,-0.1599999999999988,16,
135,2.49885e-10,-0.1499999999999988,16,
136,2.56167e-10,-0.1399999999999988,16,
137,2.62903e-10,-0.12999999999999878,16,
138,2.72026e-10,-0.11999999999999877,16,
139,2.79956e-10,-0.10999999999999877,16,
140,2.77653e-10,-0.09999999999999876,16,
141,2.94024e-10,-0.08999999999999875,16,
142,2.9968e-10,-0.07999999999999874,16,
143,3.08832e-10,-0.06999999999999873,16,
144,3.15852e-10,-0.05999999999999872,16,
145,3.23327e-10,-0.04999999999999871,16,
146,3.2111e-10,-0.0399999999999987,16,
147,3.36742e-10,-0.029999999999998694,16,
148,3.45439e-10,-0.019999999999998685,16,
149,3.56041e-10,-0.009999999999998677,16,
150,3.6235e-10,1.3322676295501878e-15,16,
