,Corriente [A],Tension fotocatodo [V],Escala,Hora
0,6.37004e-12,-1.5,13,9:43:40
1,7.34174e-12,-1.49,13,
2,7.34707e-12,-1.48,13,
3,7.38792e-12,-1.47,13,
4,5.8176e-12,-1.46,13,
5,6.59564e-12,-1.45,13,
6,7.34174e-12,-1.44,13,
7,6.24392e-12,-1.43,13,
8,6.704e-12,-1.42,13,
9,6.06806e-12,-1.41,13,
10,6.25991e-12,-1.4,13,
11,7.46786e-12,-1.39,13,
12,7.53181e-12,-1.38,13,
13,6.18708e-12,-1.3699999999999999,13,
14,6.5459e-12,-1.3599999999999999,13,
15,7.09124e-12,-1.3499999999999999,13,
16,6.67558e-12,-1.3399999999999999,13,
17,5.90464e-12,-1.3299999999999998,13,
18,6.47662e-12,-1.3199999999999998,13,
19,5.50851e-12,-1.3099999999999998,13,
20,5.40193e-12,-1.2999999999999998,13,
21,6.00589e-12,-1.2899999999999998,13,
22,6.013e-12,-1.2799999999999998,13,
23,6.47307e-12,-1.2699999999999998,13,
24,6.3434e-12,-1.2599999999999998,13,
25,7.7201e-12,-1.2499999999999998,13,
26,6.4713e-12,-1.2399999999999998,13,
27,5.05554e-12,-1.2299999999999998,13,
28,5.8922e-12,-1.2199999999999998,13,
29,5.72878e-12,-1.2099999999999997,13,
30,5.57068e-12,-1.1999999999999997,13,
31,6.26879e-12,-1.1899999999999997,12,
32,6.43399e-12,-1.1799999999999997,12,
33,6.36471e-12,-1.1699999999999997,12,
34,6.26346e-12,-1.1599999999999997,12,
35,7.03174e-12,-1.1499999999999997,12,
36,6.29366e-12,-1.1399999999999997,12,
37,6.29721e-12,-1.1299999999999997,12,
38,7.66148e-12,-1.1199999999999997,12,
39,5.6968e-12,-1.1099999999999997,12,
40,6.16487e-12,-1.0999999999999996,12,
41,5.56891e-12,-1.0899999999999996,12,
42,6.52192e-12,-1.0799999999999996,12,
43,4.90899e-12,-1.0699999999999996,12,
44,5.00402e-12,-1.0599999999999996,12,
45,6.32119e-12,-1.0499999999999996,12,
46,5.14969e-12,-1.0399999999999996,12,
47,5.23229e-12,-1.0299999999999996,12,
48,5.55558e-12,-1.0199999999999996,12,
49,5.82293e-12,-1.0099999999999996,12,
50,7.00953e-12,-0.9999999999999996,12,
51,4.8557e-12,-0.9899999999999995,12,
52,6.06895e-12,-0.9799999999999995,12,
53,5.72878e-12,-0.9699999999999995,12,
54,6.14889e-12,-0.9599999999999995,12,
55,4.80507e-12,-0.9499999999999995,12,
56,6.41623e-12,-0.9399999999999995,12,
57,6.04675e-12,-0.9299999999999995,12,
58,5.36285e-12,-0.9199999999999995,12,
59,5.2616e-12,-0.9099999999999995,12,
60,6.07961e-12,-0.8999999999999995,12,
61,6.88785e-12,-0.8899999999999995,12,
62,5.35486e-12,-0.8799999999999994,12,
63,6.41356e-12,-0.8699999999999994,12,
64,8.07626e-12,-0.8599999999999994,12,
65,5.64263e-12,-0.8499999999999994,12,
66,6.55301e-12,-0.8399999999999994,12,
67,7.06904e-12,-0.8299999999999994,12,
68,8.45374e-12,-0.8199999999999994,12,
69,8.31074e-12,-0.8099999999999994,12,
70,7.49539e-12,-0.7999999999999994,12,
71,9.35968e-12,-0.7899999999999994,12,
72,8.19439e-12,-0.7799999999999994,12,
73,8.43864e-12,-0.7699999999999994,12,
74,8.1784e-12,-0.7599999999999993,12,
75,1.02372e-11,-0.7499999999999993,12,
76,9.50534e-12,-0.7399999999999993,12,
77,1.23786e-11,-0.7299999999999993,12,
78,1.10605e-11,-0.7199999999999993,12,
79,1.21592e-11,-0.7099999999999993,12,
80,1.28449e-11,-0.6999999999999993,12,
81,1.38334e-11,-0.6899999999999993,12,
82,1.31646e-11,-0.6799999999999993,12,
83,1.70389e-11,-0.6699999999999993,12,
84,1.77832e-11,-0.6599999999999993,12,
85,1.71446e-11,-0.6499999999999992,12,
86,1.75416e-11,-0.6399999999999992,12,
87,1.99273e-11,-0.6299999999999992,12,
88,1.85009e-11,-0.6199999999999992,12,
89,2.02204e-11,-0.6099999999999992,13,
90,2.46151e-11,-0.5999999999999992,13,
91,2.28441e-11,-0.5899999999999992,13,
92,2.14816e-11,-0.5799999999999992,13,
93,2.48229e-11,-0.5699999999999992,13,
94,2.71251e-11,-0.5599999999999992,13,
95,2.79209e-11,-0.5499999999999992,13,
96,3.21967e-11,-0.5399999999999991,13,
97,3.2186e-11,-0.5299999999999991,13,
98,3.08147e-11,-0.5199999999999991,13,
99,3.66323e-11,-0.5099999999999991,13,
100,3.58489e-11,-0.4999999999999991,13,
101,3.98919e-11,-0.4899999999999991,13,
102,4.05527e-11,-0.4799999999999991,13,
103,4.11318e-11,-0.4699999999999991,13,
104,4.36933e-11,-0.4599999999999991,13,
105,4.58e-11,-0.44999999999999907,13,
106,4.99709e-11,-0.43999999999999906,13,
107,4.95286e-11,-0.42999999999999905,14,
108,5.46267e-11,-0.41999999999999904,14,
109,5.56037e-11,-0.40999999999999903,14,
110,6.03113e-11,-0.399999999999999,14,
111,6.13984e-11,-0.389999999999999,14,
112,6.31677e-11,-0.379999999999999,14,
113,6.86069e-11,-0.369999999999999,14,
114,7.01381e-11,-0.359999999999999,14,
115,7.02447e-11,-0.349999999999999,14,
116,7.43836e-11,-0.33999999999999897,14,
117,7.84088e-11,-0.32999999999999896,14,
118,8.18621e-11,-0.31999999999999895,14,
119,8.44804e-11,-0.30999999999999894,14,
120,9.04241e-11,-0.29999999999999893,14,
121,9.10636e-11,-0.2899999999999989,14,
122,9.62364e-11,-0.2799999999999989,14,
123,9.91673e-11,-0.2699999999999989,14,
124,1.03129e-10,-0.2599999999999989,15,
125,1.06354e-10,-0.2499999999999989,15,
126,1.11534e-10,-0.23999999999999888,15,
127,1.15492e-10,-0.22999999999999887,15,
128,1.16011e-10,-0.21999999999999886,15,
129,1.23983e-10,-0.20999999999999885,15,
130,1.28552e-10,-0.19999999999999885,15,
131,1.32354e-10,-0.18999999999999884,15,
132,1.3543e-10,-0.17999999999999883,15,
133,1.41292e-10,-0.16999999999999882,15,
134,1.47311e-10,-0.1599999999999988,15,
135,1.49066e-10,-0.1499999999999988,15,
136,1.56199e-10,-0.1399999999999988,15,
137,1.58814e-10,-0.12999999999999878,15,
138,1.63788e-10,-0.11999999999999877,15,
139,1.6938e-10,-0.10999999999999877,15,
140,1.73665e-10,-0.09999999999999876,15,
141,1.792e-10,-0.08999999999999875,15,
142,1.85666e-10,-0.07999999999999874,15,
143,1.91378e-10,-0.06999999999999873,15,
144,1.98193e-10,-0.05999999999999872,15,
145,2.01283e-10,-0.04999999999999871,16,
146,2.07337e-10,-0.0399999999999987,16,
147,2.10151e-10,-0.029999999999998694,16,
148,2.14926e-10,-0.019999999999998685,16,
149,2.24049e-10,-0.009999999999998677,16,
150,2.2979e-10,1.3322676295501878e-15,16,
