,Tension fotocatodo [V],Escala,X,Y,R,theta,Hora
0,-5.0,16.0,-2.92632e-10,-3.26851e-12,2.92603e-10,-179.364,13:45:03
1,-4.5,16.0,-2.87516e-10,4.54751e-13,2.87459e-10,179.91,
2,-4.0,16.0,-2.80751e-10,1.98953e-13,2.80695e-10,179.958,
3,-3.5,16.0,-2.78336e-10,-2.21691e-12,2.78307e-10,-179.538,
4,-3.0,16.0,-2.76659e-10,-5.22962e-12,2.76687e-10,-178.914,
5,-2.5,16.0,-2.76374e-10,-7.13388e-12,2.7646e-10,-178.524,
6,-2.0,16.0,-2.80069e-10,-1.36993e-11,2.80382e-10,-177.198,
7,-1.5,16.0,-2.91665e-10,-3.04114e-12,2.91637e-10,-179.412,
8,-1.0,16.0,-2.88141e-10,7.38968e-13,2.88113e-10,179.85,
9,-0.5,16.0,-2.85839e-10,1.33583e-12,2.8581e-10,179.73,
10,0.0,16.0,-2.81092e-10,4.83173e-13,2.81036e-10,179.904,
11,0.5,16.0,-2.78961e-10,-9.09502e-13,2.7879e-10,-179.778,
12,1.0,16.0,-2.77426e-10,-1.08856e-11,2.77625e-10,-177.75,
13,1.5,16.0,-2.93683e-10,-7.30443e-12,2.93769e-10,-178.59,
14,2.0,16.0,-2.9357e-10,-9.15185e-12,2.93683e-10,-178.224,
15,2.5,16.0,-2.95104e-10,-4.12118e-12,2.95076e-10,-179.208,
16,3.0,16.0,-2.87601e-10,5.68439e-14,2.87573e-10,179.982,
17,3.5,16.0,-2.79842e-10,-1.53478e-12,2.79757e-10,-179.67,
18,4.0,16.0,-2.85953e-10,-1.603e-11,2.86322e-10,-176.796,
19,4.5,16.0,-2.92461e-10,-1.20224e-11,2.92689e-10,-177.648,
20,5.0,16.0,-2.91069e-10,-5.96859e-13,2.91012e-10,-179.886,
