,Tension fotocatodo [V],Escala,X,Y,R,theta,Hora
0,-5.0,16.0,-2.97009e-11,-6.93492e-12,3.04683e-11,-166.854,8:35:11
1,-4.8,16.0,2.55797e-12,1.5632e-12,3.01272e-12,29.67,
2,-4.6,16.0,-2.52955e-12,2.55797e-12,3.58115e-12,133.878,
3,-4.3999999999999995,16.0,4.68961e-12,-5.79806e-12,7.44654e-12,-50.802,
4,-4.199999999999999,16.0,9.72028e-12,1.30741e-12,9.80555e-12,7.8,
5,-3.999999999999999,16.0,-2.01796e-12,-2.55797e-13,2.01796e-12,-173.868,
6,-3.799999999999999,16.0,8.41288e-12,-3.41062e-12,9.06658e-12,-21.996,
7,-3.5999999999999988,16.0,8.07182e-12,4.1496e-12,9.095e-12,27.174,
8,-3.3999999999999986,16.0,-2.4727e-12,-1.42109e-12,2.81376e-12,-149.964,
9,-3.1999999999999984,16.0,7.19072e-12,-5.17278e-12,8.78236e-12,-36.216,
10,-2.9999999999999982,16.0,8.89605e-12,6.25281e-13,8.92447e-12,3.954,
11,-2.799999999999998,16.0,3.80854e-12,5.96859e-12,7.10546e-12,57.126,
12,-2.599999999999998,16.0,-2.27375e-12,-1.33583e-12,2.61481e-12,-150.162,
13,-2.3999999999999977,16.0,1.10845e-12,-5.2012e-12,5.31489e-12,-78.234,
14,-2.1999999999999975,16.0,5.05909e-12,5.17278e-12,7.19072e-12,46.782,
15,-1.9999999999999973,16.0,-3.69484e-13,-4.97383e-12,4.94541e-12,-94.044,
16,-1.7999999999999972,16.0,8.41288e-12,-9.94767e-13,8.4413e-12,-6.666,
17,-1.599999999999997,16.0,-2.35902e-12,3.01272e-12,3.80854e-12,127.218,
18,-1.3999999999999968,16.0,-3.66643e-12,1.84742e-12,4.09275e-12,153.12,
19,-1.1999999999999966,16.0,3.29693e-12,-6.45176e-12,7.27601e-12,-61.848,
20,-0.9999999999999964,16.0,1.25056e-12,5.8549e-12,5.99701e-12,77.85,
21,-0.7999999999999963,16.0,-1.02887e-11,-4.03591e-12,1.10277e-11,-158.664,
22,-0.5999999999999961,16.0,-1.15677e-11,-7.6739e-13,1.15677e-11,-176.202,
23,-0.3999999999999959,16.0,-4.94824e-11,-4.26327e-13,4.9454e-11,-179.574,
24,-0.19999999999999574,16.0,-8.19971e-11,-6.76439e-12,8.22813e-11,-175.284,
25,4.440892098500626e-15,16.0,-1.36567e-10,2.67165e-12,1.36567e-10,178.884,
26,0.20000000000000462,16.0,-2.19416e-10,6.39491e-12,2.19445e-10,178.332,
27,0.4000000000000048,16.0,-3.0437e-10,-1.84742e-12,3.04341e-10,-179.664,
28,0.600000000000005,16.0,-3.7136e-10,-1.39551e-11,3.71616e-10,-177.852,
29,0.8000000000000052,16.0,-4.43579e-10,5.94017e-12,4.43579e-10,179.238,
30,1.0000000000000053,16.0,-5.32996e-10,8.52657e-12,5.33138e-10,179.082,
31,1.2000000000000055,16.0,-5.46098e-10,4.83172e-12,5.4607e-10,179.556,
32,1.4000000000000057,16.0,-5.46098e-10,-2.01511e-11,5.4607e-10,-178.29,
33,1.6000000000000059,16.0,-5.46098e-10,9.69186e-12,5.4607e-10,179.238,
34,1.800000000000006,16.0,-5.46098e-10,8.81079e-12,5.4607e-10,179.376,
35,2.000000000000006,16.0,-5.46098e-10,-2.34196e-11,5.4607e-10,-178.458,
36,2.2000000000000064,16.0,-5.46098e-10,-2.06059e-11,5.4607e-10,-178.71,
37,2.4000000000000066,16.0,-5.46098e-10,5.51384e-12,5.4607e-10,179.676,
38,2.6000000000000068,16.0,-5.46098e-10,1.22498e-11,5.4607e-10,179.328,
39,2.800000000000007,16.0,-5.46098e-10,6.56544e-12,5.4607e-10,179.658,
40,3.000000000000007,16.0,-5.46098e-10,-2.4187e-11,5.4607e-10,-178.758,
41,3.2000000000000064,16.0,-5.46098e-10,8.58341e-12,5.4607e-10,179.58,
42,3.4000000000000075,16.0,-5.46098e-10,1.07435e-11,5.4607e-10,179.502,
43,3.6000000000000085,16.0,-5.46098e-10,-3.02978e-11,5.4607e-10,-178.668,
44,3.800000000000008,16.0,-5.46098e-10,-3.50726e-11,5.4607e-10,-178.476,
45,4.000000000000007,16.0,-5.46098e-10,-5.68438e-13,5.4607e-10,-179.97,
46,4.200000000000008,16.0,-5.46098e-10,1.4012e-11,5.4607e-10,179.424,
47,4.400000000000009,16.0,-5.46098e-10,-3.46746e-12,5.4607e-10,-179.868,
48,4.6000000000000085,16.0,-5.46098e-10,-3.44758e-11,5.4607e-10,-178.656,
49,4.800000000000008,16.0,-5.46098e-10,-1.65415e-11,5.4607e-10,-179.346,
50,5.000000000000009,16.0,-5.46098e-10,1.56605e-11,5.4607e-10,179.418,
