,Corriente [A],Tension fotocatodo [V],Hora
0,5.46093e-14,-5,9:47:30
1,5.46093e-14,-4,
2,5.46093e-14,-3,
3,5.46093e-14,-2,
4,5.46093e-14,-1,
5,5.46093e-14,0,
6,5.46093e-14,1,
7,5.46093e-14,2,
8,5.46093e-14,3,
9,5.46093e-14,4,
10,5.46093e-14,5,
